Hour,m3.large,c5.2xlarge
0,1,111
1,1,111
2,1,110
3,1,108
4,1,108
5,1,106
6,1,107
7,1,100
8,1,100
9,1,102
10,1,106
11,1,108
12,1,111
13,1,113
14,1,113
15,1,113
16,1,114
17,1,114
18,1,114
19,1,114
20,1,111
21,1,108
22,1,108
23,1,111
24,1,114
25,1,113
26,1,113
27,1,116
28,1,107
29,1,109
30,1,102
31,1,100
32,1,101
33,1,103
34,1,107
35,1,112
36,1,116
37,1,127
38,1,131
39,1,125
40,1,134
41,1,133
42,1,131
43,1,127
44,1,131
45,1,124
46,1,126
47,1,124
48,1,128
49,1,129
50,1,124
51,1,120
52,1,108
53,1,110
54,1,105
55,1,109
56,1,103
57,1,104
58,1,119
59,1,117
60,1,121
61,1,129
62,1,125
63,1,123
64,1,140
65,1,128
66,1,142
67,1,138
68,1,128
69,1,122
70,1,122
71,1,125
72,1,129
73,1,120
74,1,119
75,1,113
76,1,107
77,1,104
78,1,107
79,1,100
80,1,108
81,1,104
82,1,106
83,1,110
84,1,113
85,1,128
86,1,119
87,1,117
88,1,122
89,1,117
90,1,121
91,1,118
92,1,122
93,1,117
94,1,120
95,1,119
96,1,123
97,1,116
98,1,124
99,1,115
100,1,110
101,1,113
102,1,105
103,1,101
104,1,101
105,1,103
106,1,105
107,1,110
108,1,110
109,1,111
110,1,113
111,1,112
112,1,115
113,1,115
114,1,116
115,1,115
116,1,114
117,1,113
118,1,119
119,1,119
120,1,120
121,1,117
122,1,116
123,1,113
124,1,107
125,1,109
126,1,103
127,1,101
128,1,101
129,1,104
130,1,107
131,1,113
132,1,122
133,1,132
134,1,127
135,1,123
136,1,130
137,1,133
138,1,131
139,1,129
140,1,128
141,1,121
142,1,123
143,1,130
144,1,124
145,1,129
146,1,123
147,1,113
148,1,110
149,1,106
150,1,105
151,1,102
152,1,105
153,1,110
154,1,114
155,1,114
156,1,129
157,1,133
158,1,132
159,1,123
160,1,133
161,1,126
162,1,144
163,1,135
164,1,137
165,1,132
166,1,135
167,1,145
168,1,135
169,1,144
170,1,139
171,1,118
172,1,113
173,1,112
174,1,102
175,1,105
176,1,103
177,1,119
178,1,120
179,1,121
180,1,121
181,1,130
182,1,135
183,1,130
184,1,135
185,1,138
186,1,137
187,1,131
188,1,144
189,1,140
190,1,141
191,1,140
192,1,144
193,1,143
194,1,130
195,1,126
196,1,115
197,1,108
198,1,105
199,1,103
200,1,105
201,1,109
202,1,111
203,1,117
204,1,128
205,1,136
206,1,141
207,1,137
208,1,140
209,1,133
210,1,135
211,1,144
212,1,148
213,1,143
214,1,131
215,1,131
216,1,131
217,1,122
218,1,116
219,1,113
220,1,86
221,1,84
222,1,81
223,1,80
224,1,84
225,1,84
226,1,92
227,1,97
228,1,101
229,1,103
230,1,103
231,1,107
232,1,114
233,1,104
234,1,99
235,1,97
236,1,137
237,1,119
238,1,124
239,1,103
240,1,108
241,1,103
242,1,100
243,1,96
244,1,94
245,1,94
246,1,91
247,1,91
248,1,94
249,1,91
250,1,98
251,1,96
252,1,99
253,1,96
254,1,95
255,1,101
256,1,95
257,1,101
258,1,100
259,1,99
260,1,96
261,1,104
262,1,93
263,1,96
264,1,102
265,1,97
266,1,99
267,1,92
268,1,87
269,1,92
270,1,87
271,1,90
272,1,87
273,1,93
274,1,95
275,1,97
276,1,95
277,1,94
278,1,94
279,1,94
280,1,94
281,1,94
282,1,94
283,1,94
284,1,96
285,1,98
286,1,103
287,1,113
288,1,99
289,1,99
290,1,95
291,1,94
292,1,93
293,1,93
294,1,92
295,1,88
296,1,87
297,1,100
298,1,100
299,1,98
300,1,110
301,1,102
302,1,104
303,1,108
304,1,106
305,1,107
306,1,104
307,1,107
308,1,128
309,1,132
310,1,129
311,1,107
312,1,100
313,1,97
314,1,101
315,1,103
316,1,97
317,1,86
318,1,82
319,1,84
320,1,92
321,1,92
322,1,94
323,1,99
324,1,100
325,1,110
326,1,119
327,1,120
328,1,125
329,1,116
330,1,121
331,1,127
332,1,136
333,1,129
334,1,133
335,1,102
336,1,112
337,1,104
338,1,106
339,1,96
340,1,97
341,1,97
342,1,92
343,1,94
344,1,92
345,1,100
346,1,108
347,1,103
348,1,108
349,1,102
350,1,113
351,1,111
352,1,106
353,1,106
354,1,109
355,1,108
356,1,111
357,1,109
358,1,115
359,1,111
360,1,110
361,1,105
362,1,108
363,1,93
364,1,98
365,1,94
366,1,91
367,1,97
368,1,90
369,1,101
370,1,99
371,1,104
372,1,107
373,1,111
374,1,107
375,1,104
376,1,114
377,1,108
378,1,112
379,1,111
380,1,108
381,1,108
382,1,107
383,1,103
384,1,107
385,1,107
386,1,110
387,1,102
388,1,96
389,1,91
390,1,98
391,1,95
392,1,95
393,1,95
394,1,98
395,1,106
396,1,104
397,1,105
398,1,110
399,1,154
400,1,158
401,1,155
402,1,135
403,1,151
404,1,138
405,1,128
406,1,102
407,1,108
408,1,105
409,1,119
410,1,102
411,1,101
412,1,90
413,1,94
414,1,98
415,1,96
416,1,93
417,1,93
418,1,96
419,1,96
420,1,100
421,1,105
422,1,107
423,1,105
424,1,100
425,1,101
426,1,104
427,1,100
428,1,103
429,1,100
430,1,101
431,1,105
432,1,106
433,1,100
434,1,107
435,1,95
436,1,92
437,1,99
438,1,96
439,1,94
440,1,92
441,1,91
442,1,95
443,1,99
444,1,96
445,1,103
446,1,103
447,1,100
448,1,99
449,1,104
450,1,110
451,1,109
452,1,101
453,1,106
454,1,111
455,1,108
456,1,110
457,1,116
458,1,98
459,1,116
460,1,115
461,1,106
462,1,90
463,1,90
464,1,89
465,1,94
466,1,95
467,1,101
468,1,105
469,1,110
470,1,110
471,1,109
472,1,107
473,1,106
474,1,110
475,1,106
476,1,104
477,1,137
478,1,135
479,1,145
480,1,111
481,1,112
482,1,97
483,1,95
484,1,97
485,1,92
486,1,93
487,1,95
488,1,92
489,1,102
490,1,98
491,1,106
492,1,103
493,1,109
494,1,108
495,1,103
496,1,134
497,1,133
498,1,162
499,1,135
500,1,132
501,1,130
502,1,145
503,1,138
504,1,125
505,1,131
506,1,124
507,1,118
508,1,103
509,1,101
510,1,91
511,1,86
512,1,85
513,1,94
514,1,99
515,1,107
516,1,149
517,1,135
518,1,127
519,1,127
520,1,122
521,1,124
522,1,123
523,1,123
524,1,124
525,1,123
526,1,120
527,1,120
528,1,132
529,1,121
530,1,105
531,1,101
532,1,93
533,1,95
534,1,94
535,1,88
536,1,91
537,1,95
538,1,98
539,1,107
540,1,109
541,1,99
542,1,144
543,1,135
544,1,157
545,1,159
546,1,148
547,1,157
548,1,186
549,1,193
550,1,176
551,1,150
552,1,147
553,1,146
554,1,142
555,1,139
556,1,126
557,1,112
558,1,102
559,1,108
560,1,99
561,1,105
562,1,119
563,1,123
564,1,124
565,1,132
566,1,155
567,1,165
568,1,163
569,1,165
570,1,167
571,1,161
572,1,168
573,1,158
574,1,151
575,1,142
576,1,124
577,1,123
578,1,121
579,1,114
580,1,115
581,1,111
582,1,105
583,1,104
584,1,104
585,1,106
586,1,116
587,1,120
588,1,120
589,1,118
590,1,118
591,1,117
592,1,118
593,1,119
594,1,120
595,1,117
596,1,126
597,1,124
598,1,118
599,1,114
600,1,113
601,1,113
602,1,114
603,1,111
604,1,110
605,1,108
606,1,104
607,1,97
608,1,100
609,1,107
610,1,113
611,1,117
612,1,117
613,1,117
614,1,117
615,1,117
616,1,117
617,1,120
618,1,119
619,1,118
620,1,126
621,1,128
622,1,118
623,1,116
624,1,116
625,1,115
626,1,115
627,1,112
628,1,107
629,1,110
630,1,101
631,1,100
632,1,101
633,1,106
634,1,113
635,1,129
636,1,128
637,1,138
638,1,130
639,1,153
640,1,167
641,1,169
642,1,165
643,1,160
644,1,179
645,1,146
646,1,143
647,1,128
648,1,126
649,1,138
650,1,145
651,1,133
652,1,105
653,1,107
654,1,101
655,1,101
656,1,99
657,1,106
658,1,117
659,1,119
660,1,116
661,1,124
662,1,120
663,1,139
664,1,153
665,1,198
666,1,163
667,1,153
668,1,171
669,1,159
670,1,160
671,1,115
672,1,104
673,1,103
674,1,94
675,1,73
676,1,66
677,1,63
678,1,68
679,1,64
680,1,64
681,1,68
682,1,71
683,1,78
684,1,117
685,1,117
686,1,99
687,1,103
688,1,117
689,1,111
690,1,108
691,1,107
692,1,106
693,1,92
694,1,92
695,1,95
696,1,101
697,1,101
698,1,84
699,1,72
700,1,68
701,1,67
702,1,68
703,1,66
704,1,61
705,1,70
706,1,75
707,1,77
708,1,85
709,1,76
710,1,79
711,1,76
712,1,83
713,1,111
714,1,104
715,1,109
716,1,163
717,1,132
718,1,153
719,1,132
720,1,99
721,1,108
722,1,113
723,1,108
724,1,101
725,1,102
726,1,97
727,1,95
728,1,94
729,1,100
730,1,106
731,1,126
732,1,116
733,1,113
734,1,142
735,1,206
736,1,209
737,1,195
738,1,190
739,1,129
740,1,104
741,1,84
742,1,76
743,1,72
744,1,70
745,1,67
746,1,70
747,1,78
748,1,65
749,1,67
750,1,64
751,1,63
752,1,60
753,1,60
754,1,64
755,1,67
756,1,68
757,1,70
758,1,68
759,1,66
760,1,69
761,1,68
762,1,67
763,1,67
764,1,66
765,1,67
766,1,71
767,1,72
768,1,68
769,1,66
770,1,70
771,1,65
772,1,61
773,1,68
774,1,71
775,1,68
776,1,69
777,1,58
778,1,63
779,1,64
780,1,66
781,1,67
782,1,67
783,1,68
784,1,68
785,1,65
786,1,65
787,1,65
788,1,65
789,1,69
790,1,67
791,1,65
792,1,65
793,1,65
794,1,72
795,1,62
796,1,59
797,1,63
798,1,62
799,1,60
800,1,64
801,1,62
802,1,65
803,1,71
804,1,75
805,1,75
806,1,74
807,1,107
808,1,98
809,1,117
810,1,113
811,1,96
