flavor,OnDemand,RAllUpfront1Y,RPartialUpfront1YUP,RPartialUpfront1YM,RNoUpfront1YM
a1.2xlarge,0.204,1051,536,0.0612,0.1285
a1.4xlarge,0.408,2102,1072,0.1224,0.257
a1.large,0.051,263,134,0.0153,0.0321
a1.medium,0.0255,131,67,0.0077,0.0161
a1.metal,0.408,2102,1072,0.122,0.257
a1.xlarge,0.102,525,268,0.0306,0.0643
c1.medium,0.13,671,405,0.032,0.091
c1.xlarge,0.52,2703,1620,0.13,0.364
c3.2xlarge,0.42,2170,1304,0.104,0.292
c3.4xlarge,0.84,4350,2608,0.209,0.584
c3.8xlarge,1.68,8691,5216,0.417,1.168
c3.large,0.105,542,326,0.026,0.073
c3.xlarge,0.21,1093,652,0.053,0.146
c4.2xlarge,0.398,2078,1060,0.121,0.252
c4.4xlarge,0.796,4146,2116,0.242,0.504
c4.8xlarge,1.591,8293,4231,0.483,1.008
c4.large,0.1,515,263,0.03,0.063
c4.xlarge,0.199,1039,530,0.06,0.126
c5.12xlarge,2.04,10508,5361,0.612,1.285
c5.18xlarge,3.06,15762,8042,0.918,1.928
c5.24xlarge,4.08,21016,10722,1.224,2.57
c5.2xlarge,0.34,1751,894,0.102,0.214
c5.4xlarge,0.68,3503,1787,0.204,0.428
c5.9xlarge,1.53,7881,4021,0.459,0.964
c5.large,0.085,438,223,0.026,0.054
c5.metal,4.08,21016,10722,1.224,2.57
c5.xlarge,0.17,876,447,0.051,0.107
c5a.12xlarge,1.848,9519,4857,0.554,1.164
c5a.16xlarge,2.464,12692,6475,0.739,1.552
c5a.24xlarge,3.696,19038,9713,1.109,2.328
c5a.2xlarge,0.308,1586,809,0.092,0.194
c5a.4xlarge,0.616,3173,1619,0.185,0.388
c5a.8xlarge,1.232,6346,3238,0.37,0.776
c5a.large,0.077,397,202,0.023,0.049
c5a.xlarge,0.154,793,405,0.046,0.097
c5ad.12xlarge,2.064,10631,5424,0.619,1.3
c5ad.16xlarge,2.752,14175,7232,0.826,1.734
c5ad.24xlarge,4.128,21263,10848,1.238,2.601
c5ad.2xlarge,0.344,1772,904,0.103,0.217
c5ad.4xlarge,0.688,3544,1808,0.206,0.433
c5ad.8xlarge,1.376,7088,3616,0.413,0.867
c5ad.large,0.086,443,226,0.026,0.054
c5ad.xlarge,0.172,886,452,0.052,0.108
c5d.12xlarge,2.304,11868,6055,0.691,1.452
c5d.18xlarge,3.456,17801,9082,1.037,2.177
c5d.24xlarge,4.608,23735,12110,1.382,2.903
c5d.2xlarge,0.384,1978,1009,0.115,0.242
c5d.4xlarge,0.768,3956,2018,0.23,0.484
c5d.9xlarge,1.728,8901,4541,0.518,1.089
c5d.large,0.096,494,252,0.029,0.06
c5d.metal,4.608,23735,12110,1.382,2.903
c5d.xlarge,0.192,989,505,0.058,0.121
c5n.18xlarge,3.888,20027,10218,1.166,2.449
c5n.2xlarge,0.432,2225,1135,0.13,0.272
c5n.4xlarge,0.864,4450,2271,0.259,0.544
c5n.9xlarge,1.944,10013,5109,0.583,1.225
c5n.large,0.108,556,284,0.032,0.068
c5n.metal,3.888,20027,10218,1.166,2.449
c5n.xlarge,0.216,1113,568,0.065,0.136
c6a.12xlarge,1.836,9930,5066,0.57834,1.21451
c6a.16xlarge,2.448,13240,6755,0.77112,1.61935
c6a.24xlarge,3.672,19860,10133,1.15668,2.42903
c6a.2xlarge,0.306,1655,844,0.09639,0.20242
c6a.32xlarge,4.896,26480,13510,1.54224,3.2387
c6a.48xlarge,7.344,39719,20265,2.31336,4.85806
c6a.4xlarge,0.612,3310,1689,0.19278,0.40484
c6a.8xlarge,1.224,6620,3378,0.38556,0.80968
c6a.large,0.0765,414,211,0.0241,0.0506
c6a.metal,7.344,39719,20265,2.31336,4.85806
c6a.xlarge,0.153,827,422,0.0482,0.10121
c6g.12xlarge,1.632,8406,4289,0.4896,1.0282
c6g.16xlarge,2.176,11208,5719,0.6528,1.3709
c6g.2xlarge,0.272,1401,715,0.0816,0.1714
c6g.4xlarge,0.544,2802,1430,0.1632,0.3427
c6g.8xlarge,1.088,5604,2859,0.3264,0.6854
c6g.large,0.068,350,179,0.0204,0.0428
c6g.medium,0.034,175,89,0.0102,0.0214
c6g.metal,2.176,11208,5719,0.6528,1.3709
c6g.xlarge,0.136,701,357,0.0408,0.0857
c6gd.12xlarge,1.8432,9494,4844,0.553,1.1612
c6gd.16xlarge,2.4576,12659,6459,0.7373,1.5483
c6gd.2xlarge,0.3072,1582,807,0.0922,0.1935
c6gd.4xlarge,0.6144,3165,1615,0.1843,0.3871
c6gd.8xlarge,1.2288,6329,3229,0.3686,0.7741
c6gd.large,0.0768,396,202,0.023,0.0484
c6gd.medium,0.0384,198,101,0.0115,0.0242
c6gd.metal,2.4576,12659,6459,0.7373,1.5483
c6gd.xlarge,0.1536,791,404,0.0461,0.0968
c6gn.12xlarge,2.0736,10700,5459,0.62322,1.30876
c6gn.16xlarge,2.7648,14267,7279,0.83096,1.74502
c6gn.2xlarge,0.3456,1783,910,0.10387,0.21813
c6gn.4xlarge,0.6912,3567,1820,0.20774,0.43625
c6gn.8xlarge,1.3824,7134,3640,0.41548,0.87251
c6gn.large,0.0864,446,227,0.02597,0.05453
c6gn.medium,0.0432,223,114,0.01298,0.02727
c6gn.xlarge,0.1728,892,455,0.05194,0.10906
c6i.12xlarge,2.04,11033,5629,0.6426,1.34946
c6i.16xlarge,2.72,14711,7506,0.8568,1.79928
c6i.24xlarge,4.08,22066,11258,1.2852,2.69892
c6i.2xlarge,0.34,1839,938,0.1071,0.22491
c6i.32xlarge,5.44,29422,15011,1.7136,3.59856
c6i.4xlarge,0.68,3678,1876,0.2142,0.44982
c6i.8xlarge,1.36,7355,3753,0.4284,0.89964
c6i.large,0.085,460,235,0.02678,0.05623
c6i.metal,5.44,29422,15011,1.7136,3.59856
c6i.xlarge,0.17,919,469,0.05355,0.11246
c6id.12xlarge,2.4192,12465,6360,0.726,1.5246
c6id.16xlarge,3.2256,16620,8480,0.968,2.0328
c6id.24xlarge,4.8384,24930,12720,1.452,3.0492
c6id.2xlarge,0.4032,2078,1060,0.121,0.2541
c6id.32xlarge,6.4512,33240,16959,1.936,4.0656
c6id.4xlarge,0.8064,4155,2120,0.242,0.5082
c6id.8xlarge,1.6128,8310,4240,0.484,1.0164
c6id.large,0.1008,519,265,0.03025,0.06353
c6id.metal,6.4512,33240,16959,1.936,4.0656
c6id.xlarge,0.2016,1039,530,0.0605,0.12705
c6in.12xlarge,2.7216,14019,7152,0.81648,1.71461
c6in.16xlarge,3.6288,18692,9536,1.08864,2.28614
c6in.24xlarge,5.4432,28037,14305,1.63296,3.42922
c6in.2xlarge,0.4536,2336,1192,0.13608,0.28577
c6in.32xlarge,7.2576,37383,19073,2.17728,4.57229
c6in.4xlarge,0.9072,4673,2384,0.27216,0.57154
c6in.8xlarge,1.8144,9346,4768,0.54432,1.14307
c6in.large,0.1134,584,298,0.03402,0.07144
c6in.metal,7.2576,37383,19073,2.17728,4.57229
