Hour,m5a.large,t2.large,m4.4xlarge,m5.4xlarge,c4.8xlarge,t3.small,t2.2xlarge,m5.2xlarge,r5.large,c5.4xlarge,t3.medium,m5a.2xlarge,t3a.small,c5ad.8xlarge,c5d.4xlarge,c5.xlarge,c5.large,c5ad.2xlarge,m5d.large,t3.large,m5.12xlarge,t2.xlarge,i3.xlarge,i3.4xlarge,c5n.large,c3.xlarge,c5a.2xlarge,c4.large,t3.micro,c5ad.4xlarge,c5d.18xlarge,c4.2xlarge,c4.4xlarge,c3.2xlarge,m4.2xlarge,m5d.xlarge,m5ad.large,i3.2xlarge,c5.18xlarge,m5d.4xlarge,c3.large,c5.2xlarge,m5d.8xlarge,c5ad.xlarge,c5d.9xlarge,m3.medium,m5.xlarge,c4.xlarge,c5d.xlarge,t3.2xlarge,r3.xlarge,m5d.2xlarge,c5d.2xlarge,t2.medium,t2.small,t3.xlarge,t3.nano
10000,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,27,0,188,0,0,0,428,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,20,0,0,0,0,0,3,8,0,0
10001,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,27,0,188,0,0,0,428,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,20,0,0,0,0,0,3,8,0,0
10002,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,27,0,188,0,0,0,428,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,20,0,0,0,0,0,3,8,0,0
10003,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,27,0,188,0,0,0,428,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,20,0,0,0,0,0,3,8,0,0
10004,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,27,0,188,0,0,0,428,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,20,0,0,0,0,0,3,8,0,0
10005,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,27,0,188,0,0,0,428,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,20,0,0,0,0,0,3,8,0,0
10006,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,27,0,188,0,0,0,428,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,20,0,0,0,0,0,3,8,0,0
10007,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,27,0,188,0,0,0,428,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,20,0,0,0,0,0,3,8,0,0
10008,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,27,0,188,0,0,0,428,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,20,0,0,0,0,0,3,8,0,0
10009,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,27,0,188,0,0,0,428,0,0,0,0,0,0,0,0,0,37,0,0,3,0,0,20,0,0,0,0,0,3,8,0,0
